t=2026-01-07T08:47:25+0700 lvl=info msg="no configuration paths supplied"
t=2026-01-07T08:47:25+0700 lvl=info msg="using configuration at default config path" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T08:47:25+0700 lvl=info msg="open config file" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=59612c992a1b l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=514b7042d880 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=852f248b59f3 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=e9b82d362ac7 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=0f95e3196551 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=db25c992b96b l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=6b048da03b9e l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=f0601e3c48c9 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=c1ae77926a9b l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:52+0700 lvl=info msg="join connections" obj=join id=38b20b19369e l=[::1]:3000 r=203.83.40.12:37076
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=bd77e78cee70 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=a471cb7c59d3 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=e2b52415f490 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=1bcaf65d98e6 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=3cff23b9d688 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:10+0700 lvl=info msg="join connections" obj=join id=cced10047c89 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=df0604284817 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=4076fb0367e3 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=f85b0a4402e0 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=d59896ce7a06 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=aba1105d13a9 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=b13096eaa1e5 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=e0da7151fd7d l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=f1eb7341a807 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=f30d618eaccc l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=64614d1b5661 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=be5fd650f2e9 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=460db5f17275 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=f629a6ea726b l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=689b8af57333 l=[::1]:3000 r=203.83.40.12:50062
